timestamp,cpu,memory,disk,temperature
2025-12-19T20:39:21.451722,12.4,65.5,68.1,
2025-12-19T20:39:22.966887,1.0,65.5,68.1,
2025-12-19T20:39:28.883340,14.0,65.2,68.1,
2025-12-19T20:39:30.401615,7.6,65.2,68.1,
2025-12-19T20:39:36.267664,15.6,65.1,68.1,
2025-12-19T20:39:37.780538,0.6,65.1,68.1,
2025-12-19T20:39:43.671669,14.5,64.9,68.1,
2025-12-19T20:39:45.192834,0.0,64.9,68.1,
2025-12-19T20:39:51.083697,14.2,65.0,68.1,
2025-12-19T20:39:52.595326,1.0,65.0,68.1,
2025-12-19T20:39:58.510020,11.4,65.0,68.1,
2025-12-19T20:40:10.528469,14.1,65.1,68.1,
2025-12-19T20:40:12.047922,2.2,65.1,68.1,
2025-12-19T20:40:17.896586,15.0,65.1,68.1,
2025-12-19T20:40:19.418111,0.4,65.1,68.1,
2025-12-22T12:43:07.303339,1.0,50.0,69.1,
2025-12-22T12:43:08.850755,4.1,50.0,69.1,
2025-12-22T12:43:18.443094,1.0,50.0,69.1,
2025-12-22T12:43:19.960097,2.7,50.1,69.1,
2025-12-22T12:43:29.577608,1.0,50.1,69.1,
2025-12-22T12:43:31.097827,6.9,50.1,69.1,
2025-12-22T12:43:40.759071,1.4,50.1,69.1,
2025-12-22T12:43:42.275983,2.3,50.1,69.1,
2025-12-22T12:43:51.890068,4.9,50.1,69.1,
2025-12-22T12:43:53.404782,2.3,50.1,69.1,
2025-12-22T12:44:03.044929,0.6,50.2,69.1,
2025-12-22T12:44:04.562097,0.6,50.1,69.1,
2025-12-22T12:44:14.187064,1.0,50.2,69.1,
2025-12-22T12:44:15.709540,1.8,50.1,69.1,
2025-12-22T12:44:25.323956,5.7,50.1,69.1,
2025-12-22T12:44:26.841731,2.3,50.2,69.1,
2025-12-22T12:44:36.510922,6.7,50.3,69.1,
2025-12-22T12:44:38.032598,2.1,50.5,69.1,
2025-12-22T12:44:47.703298,4.6,50.9,69.1,
2025-12-22T12:44:49.223516,5.6,50.9,69.1,
